Job Title,Company,Location,Skills
Data Science Instructor,EpsilonAI -,"Nasr City, Cairo, Egypt","Machine Learning, Python, AI"
Senior AI Engineer,Lumin -,"Sheikh Zayed, Giza, Egypt","Machine Learning, Python, AI"
Research Engineer,Enoshsciense Research Center -,"New Cairo, Cairo, Egypt","Machine Learning, Python, AI"
AI Agent Developer,Confidential -,"Heliopolis, Cairo, Egypt","Machine Learning, Python, AI"
Senior AI Vision Engineer â€“ Computer Vision & Edge Deployment,Skarpt Company  -,"6th of October, Giza, Egypt","Machine Learning, Python, AI"
Artificial Intelligence Engineer (NLP),DIRAC SYSTEMS -,"Heliopolis, Cairo, Egypt","Machine Learning, Python, AI"
AI Trainer.,Avanguard -,"New Cairo, Cairo, Egypt","Machine Learning, Python, AI"
Cloud Infrastructure Engineer,34ML -,"Heliopolis, Cairo, Egypt","Machine Learning, Python, AI"
Fresh Electrical PLC & Planning Maintenace Engineer,Modern Hygienic international -,"Ain Sokhna, Suez, Egypt","Machine Learning, Python, AI"
AI Engineer,Quantanite -,"Maadi, Cairo, Egypt","Machine Learning, Python, AI"
AI Solutions Architect,Get AI Driven -,"Cairo, Egypt","Machine Learning, Python, AI"
AI & Software Trainer,compsoft -,"Giza, Egypt","Machine Learning, Python, AI"
Learning & Development Manager,Raffles Hotels & Resorts -,"Makkah, Saudi Arabia","Machine Learning, Python, AI"
Research Scientist (AI) - Interactome,GenBio AI -,"Dubai, United Arab Emirates","Machine Learning, Python, AI"
"Senior Data Scientist - QuantumBlack, AI by McKinsey","QuantumBlack, AI by McKinsey -","Riyadh, Saudi Arabia","Machine Learning, Python, AI"
